created_at,kind,userid,playlist.artwork_url,playlist.created_at,playlist.duration,playlist.id,playlist.kind,playlist.last_modified,playlist.likes_count,playlist.managed_by_feeds,playlist.permalink,playlist.permalink_url,playlist.public,playlist.reposts_count,playlist.secret_token,playlist.sharing,playlist.title,playlist.track_count,playlist.uri,playlist.user_id,playlist.set_type,playlist.is_album,playlist.published_at,playlist.release_date,playlist.display_date,playlist.user.avatar_url,playlist.user.first_name,playlist.user.followers_count,playlist.user.full_name,playlist.user.id,playlist.user.kind,playlist.user.last_modified,playlist.user.last_name,playlist.user.permalink,playlist.user.permalink_url,playlist.user.uri,playlist.user.urn,playlist.user.username,playlist.user.verified,playlist.user.city,playlist.user.country_code,playlist.user.badges.pro,playlist.user.badges.pro_unlimited,playlist.user.badges.verified,playlist.user.station_urn,playlist.user.station_permalink
2014-11-03T12:02:29Z,like,270,https://i1.sndcdn.com/artworks-000095885162-n0ipqh-large.jpg,2014-11-02T14:44:18Z,878290,57614532,playlist,2015-10-13T15:02:35Z,77,False,olivia-louise-physical,https://soundcloud.com/q-recordings/sets/olivia-louise-physical,True,18,,public,Olivia Louise - Physical (Produced by DJ Q) Release Date 24th November,1,https://api.soundcloud.com/playlists/57614532,70138846,ep,True,,2014-11-24T00:00:00Z,2014-11-02T14:44:18Z,https://i1.sndcdn.com/avatars-000062677430-g8zkmf-large.jpg,Q,1381,Q Recordings,70138846,user,2014-11-10T09:14:24Z,Recordings,q-recordings,https://soundcloud.com/q-recordings,https://api.soundcloud.com/users/70138846,soundcloud:users:70138846,Q Recordings,False,Huddersfield,GB,False,False,False,soundcloud:system-playlists:artist-stations:70138846,artist-stations:70138846
2014-06-13T11:47:26Z,like,270,https://i1.sndcdn.com/artworks-000081980809-puvndb-large.jpg,2014-06-10T16:11:31Z,2086009,39044728,playlist,2014-06-10T17:20:10Z,4501,False,junglepussys-satisfaction-guaranteed,https://soundcloud.com/vice/sets/junglepussys-satisfaction-guaranteed,True,1111,,public,Junglepussy’s ‘Satisfaction Guaranteed’,11,https://api.soundcloud.com/playlists/39044728,7352216,album,True,,,2014-06-10T16:11:31Z,https://i1.sndcdn.com/avatars-000062617972-yia05u-large.jpg,,344974,,7352216,user,2020-11-20T15:22:10Z,,vice,https://soundcloud.com/vice,https://api.soundcloud.com/users/7352216,soundcloud:users:7352216,VICE,True,Brooklyn,US,False,False,True,soundcloud:system-playlists:artist-stations:7352216,artist-stations:7352216
2014-06-02T15:54:42Z,like,270,https://i1.sndcdn.com/artworks-000120996190-a8v9nw-large.jpg,2014-06-01T02:06:40Z,2504347,37554662,playlist,2016-01-16T23:10:32Z,477,False,madam-x-kaizen-movements-vol-i,https://soundcloud.com/madam_x/sets/madam-x-kaizen-movements-vol-i,True,81,,public,Madam X - Kaizen Movements Vol I [Free Download Compilation],7,https://api.soundcloud.com/playlists/37554662,1799368,,False,,,2014-06-01T02:06:40Z,https://i1.sndcdn.com/avatars-0DMzQz12h7kgayxu-szkQ2g-large.jpg,Madam,12650,Madam X,1799368,user,2022-01-05T17:36:19Z,X,madam_x,https://soundcloud.com/madam_x,https://api.soundcloud.com/users/1799368,soundcloud:users:1799368,Madam X,False,Athens / London / LA,,False,True,False,soundcloud:system-playlists:artist-stations:1799368,artist-stations:1799368
2014-06-01T20:58:29Z,like,270,https://i1.sndcdn.com/artworks-000080589193-ykhoz6-large.jpg,2014-05-26T23:46:52Z,4631143,36754342,playlist,2014-05-27T15:44:23Z,433,False,boxed-vol-2,https://soundcloud.com/boxedldn/sets/boxed-vol-2,True,74,,public,Boxed Vol. 2,20,https://api.soundcloud.com/playlists/36754342,67245998,,False,,,2014-05-26T23:46:52Z,https://i1.sndcdn.com/avatars-000291728097-pgxh6o-large.jpg,,7366,,67245998,user,2020-12-16T21:30:22Z,,boxedldn,https://soundcloud.com/boxedldn,https://api.soundcloud.com/users/67245998,soundcloud:users:67245998,BoxedLDN,True,,,True,False,True,soundcloud:system-playlists:artist-stations:67245998,artist-stations:67245998
2014-05-19T12:28:13Z,like,270,,2013-08-18T22:49:59Z,629134,9175974,playlist,2013-08-18T22:49:59Z,4,False,learn-this-shit,https://soundcloud.com/brontezpurnell/sets/learn-this-shit,True,2,,public,Learn this shit,1,https://api.soundcloud.com/playlists/9175974,53301671,,False,,,2013-08-18T22:49:59Z,https://a1.sndcdn.com/images/default_avatar_large.png,,108,,53301671,user,2015-07-06T18:42:19Z,,brontezpurnell,https://soundcloud.com/brontezpurnell,https://api.soundcloud.com/users/53301671,soundcloud:users:53301671,BrontezPurnell,False,,,False,False,False,soundcloud:system-playlists:artist-stations:53301671,artist-stations:53301671
2014-03-17T07:00:34Z,like,270,https://i1.sndcdn.com/artworks-000073560521-uwqp3c-large.jpg,2014-01-29T00:12:45Z,449187,21581783,playlist,2014-03-15T00:53:00Z,40,False,confusion-7-ep,https://soundcloud.com/specialoccasion/sets/confusion-7-ep,True,6,,public,Confusion 7'' EP,3,https://api.soundcloud.com/playlists/21581783,77631154,,False,,,2014-01-29T00:12:45Z,https://i1.sndcdn.com/avatars-000323325781-urcl4n-large.jpg,,365,,77631154,user,2018-03-23T15:41:33Z,,specialoccasion,https://soundcloud.com/specialoccasion,https://api.soundcloud.com/users/77631154,soundcloud:users:77631154,Special Occasion,False,Big Town,IT,False,False,False,soundcloud:system-playlists:artist-stations:77631154,artist-stations:77631154
2013-08-07T08:48:11Z,like,270,https://i1.sndcdn.com/artworks-000055035753-6ejmxk-large.jpg,2013-08-07T06:26:59Z,2526083,8701065,playlist,2013-08-11T14:13:49Z,188,False,the-wayfarer,https://soundcloud.com/donchristian/sets/the-wayfarer,True,29,,public,The Wayfarer,1,https://api.soundcloud.com/playlists/8701065,5193495,,False,,,2013-08-07T06:26:59Z,https://i1.sndcdn.com/avatars-XLoX5EezszZyUdxy-elOSow-large.jpg,DonChristian,4148,DonChristian,5193495,user,2021-03-06T13:42:16Z,,donchristian,https://soundcloud.com/donchristian,https://api.soundcloud.com/users/5193495,soundcloud:users:5193495,DonChristian,True,New York City,,True,False,True,soundcloud:system-playlists:artist-stations:5193495,artist-stations:5193495
2013-05-28T21:48:48Z,like,270,https://i1.sndcdn.com/artworks-000049201094-zlmemt-large.jpg,2013-04-29T14:17:39Z,2612884,5229405,playlist,2013-05-28T20:50:33Z,9,False,disko-dumplings-dansande-demos,https://soundcloud.com/disko-dumpling/sets/disko-dumplings-dansande-demos,True,2,,public,Disko Dumplings Dansande Demos #1,8,https://api.soundcloud.com/playlists/5229405,40071673,compilation,True,,,2013-04-29T14:17:39Z,https://i1.sndcdn.com/avatars-000053432928-8up6qd-large.jpg,,159,,40071673,user,2014-08-28T19:00:05Z,,disko-dumpling,https://soundcloud.com/disko-dumpling,https://api.soundcloud.com/users/40071673,soundcloud:users:40071673,Disko Dumpling,False,,,False,False,False,soundcloud:system-playlists:artist-stations:40071673,artist-stations:40071673
2018-01-02T23:14:48Z,like,861,https://i1.sndcdn.com/artworks-000250569145-6s83yl-large.jpg,2017-10-19T23:32:36Z,360207,361281309,playlist,2018-02-03T16:22:48Z,5,False,departhead-feels-so-right,https://soundcloud.com/raw-trax-records/sets/departhead-feels-so-right,True,2,,public,Departhead - Feels So Right feat. Suzy B [RAW088],0,https://api.soundcloud.com/playlists/361281309,548037,ep,True,2018-01-02T23:11:38Z,2018-02-16T00:00:00Z,2018-01-02T23:11:38Z,https://i1.sndcdn.com/avatars-000100050320-vb8p4h-large.jpg,,1915,,548037,user,2021-08-24T20:52:02Z,,raw-trax-records,https://soundcloud.com/raw-trax-records,https://api.soundcloud.com/users/548037,soundcloud:users:548037,Raw Trax Records,False,Genova,IT,False,False,False,soundcloud:system-playlists:artist-stations:548037,artist-stations:548037
2016-08-25T17:00:36Z,like,861,https://i1.sndcdn.com/artworks-000205440414-wtvo34-large.jpg,2016-08-25T15:55:58Z,981271,253483535,playlist,2017-01-30T16:09:42Z,34,False,pt07-niko-maxen-the-hot-rod-ep,https://soundcloud.com/pathway-traxx/sets/pt07-niko-maxen-the-hot-rod-ep,True,8,,public,PT07: Niko Maxen - The Hot Rod EP,4,https://api.soundcloud.com/playlists/253483535,27796041,,False,2016-08-25T15:55:58Z,,2016-08-25T15:55:58Z,https://i1.sndcdn.com/avatars-000496487079-d7sslq-large.jpg,Pathway,4640,Pathway Traxx,27796041,user,2020-06-18T01:29:07Z,Traxx,pathway-traxx,https://soundcloud.com/pathway-traxx,https://api.soundcloud.com/users/27796041,soundcloud:users:27796041,Pathway Traxx,False,Leeds ,,True,False,False,soundcloud:system-playlists:artist-stations:27796041,artist-stations:27796041
2014-12-09T09:55:17Z,like,861,https://i1.sndcdn.com/artworks-000207177177-k55ro2-large.jpg,2014-11-09T12:54:53Z,1544840,58620233,playlist,2017-02-10T17:45:43Z,38,False,pt05-the-disco-cuts-ep-various,https://soundcloud.com/pathway-traxx/sets/pt05-the-disco-cuts-ep-various,True,7,,public,PT05: The Disco Cuts EP (Various Artists),5,https://api.soundcloud.com/playlists/58620233,27796041,ep,True,,,2014-11-09T12:54:53Z,https://i1.sndcdn.com/avatars-000496487079-d7sslq-large.jpg,Pathway,4640,Pathway Traxx,27796041,user,2020-06-18T01:29:07Z,Traxx,pathway-traxx,https://soundcloud.com/pathway-traxx,https://api.soundcloud.com/users/27796041,soundcloud:users:27796041,Pathway Traxx,False,Leeds ,,True,False,False,soundcloud:system-playlists:artist-stations:27796041,artist-stations:27796041
2013-11-30T13:18:23Z,like,861,https://i1.sndcdn.com/artworks-000064048006-z15ku5-large.jpg,2013-11-19T13:22:18Z,435916,15006677,playlist,2013-12-04T11:23:39Z,28,False,hard-dreamers-ep,https://soundcloud.com/fortezza-records/sets/hard-dreamers-ep,True,9,,public,Hard Dreamers EP,4,https://api.soundcloud.com/playlists/15006677,60012075,ep,True,,,2013-11-19T13:22:18Z,https://i1.sndcdn.com/avatars-000059866623-o0s0zt-large.jpg,Art & Vinyl Label,208,Art & Vinyl Label,60012075,user,2015-05-31T18:58:20Z,,fortezza-records,https://soundcloud.com/fortezza-records,https://api.soundcloud.com/users/60012075,soundcloud:users:60012075,Fortezza Records,False,Umbria / Trasimeno Lake,IT,False,False,False,soundcloud:system-playlists:artist-stations:60012075,artist-stations:60012075
2013-06-10T16:23:12Z,like,861,https://i1.sndcdn.com/artworks-000046455749-5733mw-large.jpg,2013-04-26T00:31:07Z,720824,5131968,playlist,2015-10-13T14:30:44Z,114,False,crmcd023-mathew-jonson-her,https://soundcloud.com/crosstownrebels/sets/crmcd023-mathew-jonson-her,True,20,,public,CRMCD023 Mathew Jonson - Her Blurry Pictures,8,https://api.soundcloud.com/playlists/5131968,19069,album,True,,2013-06-11T00:00:00Z,2013-04-26T00:31:07Z,https://i1.sndcdn.com/avatars-uxdyznN4MYbK9PY9-rzcWJw-large.jpg,Crosstown,147621,Crosstown Rebels,19069,user,2022-02-11T09:02:36Z,Rebels,crosstownrebels,https://soundcloud.com/crosstownrebels,https://api.soundcloud.com/users/19069,soundcloud:users:19069,Crosstown Rebels,True,,,False,True,True,soundcloud:system-playlists:artist-stations:19069,artist-stations:19069
