created_at,kind,id,playlist.artwork_url,playlist.created_at,playlist.duration,playlist.id,playlist.kind,playlist.last_modified,playlist.likes_count,playlist.managed_by_feeds,playlist.permalink,playlist.permalink_url,playlist.public,playlist.reposts_count,playlist.secret_token,playlist.sharing,playlist.title,playlist.track_count,playlist.uri,playlist.user_id,playlist.set_type,playlist.is_album,playlist.published_at,playlist.release_date,playlist.display_date,playlist.user.avatar_url,playlist.user.first_name,playlist.user.followers_count,playlist.user.full_name,playlist.user.id,playlist.user.kind,playlist.user.last_modified,playlist.user.last_name,playlist.user.permalink,playlist.user.permalink_url,playlist.user.uri,playlist.user.urn,playlist.user.username,playlist.user.verified,playlist.user.city,playlist.user.country_code,playlist.user.badges.pro,playlist.user.badges.pro_unlimited,playlist.user.badges.verified,playlist.user.station_urn,playlist.user.station_permalink
2019-08-27T19:52:54Z,like,8,https://i1.sndcdn.com/artworks-000404235933-rab840-large.jpg,2018-09-03T11:37:16Z,2704838696,595557723,playlist,2021-08-02T15:29:26Z,2555,False,burning-man-2018,https://soundcloud.com/muloka/sets/burning-man-2018,True,249,,public,Burning Man 2018,452,https://api.soundcloud.com/playlists/595557723,67208,,False,2018-09-03T11:37:16Z,2018-08-22T00:00:00Z,2018-09-03T11:37:16Z,https://i1.sndcdn.com/avatars-k8bekDycX06kpAQk-deBxxQ-large.jpg,Solar,4094,Solar Seance,67208,user,2021-12-06T18:17:03Z,Seance,muloka,https://soundcloud.com/muloka,https://api.soundcloud.com/users/67208,soundcloud:users:67208,Muloka,False,Toronto / Bermuda,,False,True,False,soundcloud:system-playlists:artist-stations:67208,artist-stations:67208
2019-08-11T19:45:21Z,like,8,,2016-08-14T05:00:19Z,13140228,250205439,playlist,2016-08-14T05:00:19Z,1,False,firme-oldies-1,https://soundcloud.com/sharon-garcia-20/sets/firme-oldies-1,True,0,,public,firme oldies,23,https://api.soundcloud.com/playlists/250205439,141490797,,False,2016-08-14T05:00:19Z,,2016-08-14T05:00:19Z,https://i1.sndcdn.com/avatars-000134077427-4p4jn5-large.jpg,Sharon,4,Sharon Garcia,141490797,user,2015-03-04T05:52:57Z,Garcia,sharon-garcia-20,https://soundcloud.com/sharon-garcia-20,https://api.soundcloud.com/users/141490797,soundcloud:users:141490797,Sharon Garcia,False,,,False,False,False,soundcloud:system-playlists:artist-stations:141490797,artist-stations:141490797
2019-06-28T11:56:22Z,like,8,,2019-05-17T03:59:37Z,2410582,781234746,playlist,2019-05-21T20:52:05Z,19137,False,fever,https://soundcloud.com/megan-thee-stallion/sets/fever,True,1047,,public,Fever,14,https://api.soundcloud.com/playlists/781234746,221385469,,False,2019-05-17T04:00:31Z,2019-05-17T00:00:00Z,2019-05-17T04:00:31Z,https://i1.sndcdn.com/avatars-SQ6G7Nyh1HAzizTY-8XhTfg-large.jpg,Megan,348482,Megan,221385469,user,2021-10-29T11:34:01Z,,megan-thee-stallion,https://soundcloud.com/megan-thee-stallion,https://api.soundcloud.com/users/221385469,soundcloud:users:221385469,Megan Thee Stallion,True,"Houston,TX",US,False,True,True,soundcloud:system-playlists:artist-stations:221385469,artist-stations:221385469
2019-06-28T11:56:16Z,like,8,,2019-01-04T21:12:34Z,1816978,678645753,playlist,2019-01-04T21:12:59Z,11060,False,tina-snow,https://soundcloud.com/megan-thee-stallion/sets/tina-snow,True,606,,public,Tina Snow,10,https://api.soundcloud.com/playlists/678645753,221385469,,False,2019-01-04T21:12:34Z,,2019-01-04T21:12:34Z,https://i1.sndcdn.com/avatars-SQ6G7Nyh1HAzizTY-8XhTfg-large.jpg,Megan,348482,Megan,221385469,user,2021-10-29T11:34:01Z,,megan-thee-stallion,https://soundcloud.com/megan-thee-stallion,https://api.soundcloud.com/users/221385469,soundcloud:users:221385469,Megan Thee Stallion,True,"Houston,TX",US,False,True,True,soundcloud:system-playlists:artist-stations:221385469,artist-stations:221385469
2019-04-24T05:21:47Z,like,8,https://i1.sndcdn.com/artworks-j0yXvTRReN42qmDS-ZIbJMw-large.jpg,2019-04-04T18:44:54Z,19319828,745719954,playlist,2022-02-09T00:06:59Z,2053,False,forwards-dancehall-party,https://soundcloud.com/soundcloud-vibrations/sets/forwards-dancehall-party,True,66,,public,Dancehall Party: Forwards,108,https://api.soundcloud.com/playlists/745719954,603474543,,False,2019-04-05T13:33:56Z,,2019-04-05T13:33:56Z,https://i1.sndcdn.com/avatars-000599544672-44jjvl-large.jpg,,8486,,603474543,user,2022-02-04T17:07:25Z,,soundcloud-vibrations,https://soundcloud.com/soundcloud-vibrations,https://api.soundcloud.com/users/603474543,soundcloud:users:603474543,Vibrations: Global Rhythm,True,,,False,True,True,soundcloud:system-playlists:artist-stations:603474543,artist-stations:603474543
2019-04-24T05:19:58Z,like,8,https://i1.sndcdn.com/artworks-000518639409-px5atl-large.jpg,2019-04-05T18:58:27Z,20911232,746532549,playlist,2022-01-21T21:03:53Z,297,False,atmosphere-dreamy-indie-instrumental,https://soundcloud.com/soundcloud-scenes/sets/atmosphere-dreamy-indie-instrumental,True,11,,public,Dreamy Indie Instrumentals: Atmosphere,77,https://api.soundcloud.com/playlists/746532549,603473631,,False,2019-04-12T14:45:07Z,,2019-04-12T14:45:07Z,https://i1.sndcdn.com/avatars-000600496689-dbv36h-large.jpg,,7464,,603473631,user,2021-08-27T19:35:40Z,,soundcloud-scenes,https://soundcloud.com/soundcloud-scenes,https://api.soundcloud.com/users/603473631,soundcloud:users:603473631,Scenes: Indie,True,,,False,True,True,soundcloud:system-playlists:artist-stations:603473631,artist-stations:603473631
2019-04-24T05:19:20Z,like,8,https://i1.sndcdn.com/artworks-CLOQf1K8EtqLzQ0s-XVxwBg-large.jpg,2019-03-22T20:24:38Z,8661739,735291612,playlist,2021-12-23T17:21:12Z,1679,False,k-pop-and-more,https://soundcloud.com/soundcloud-shine/sets/k-pop-and-more,True,49,,public,K-Pop and More,43,https://api.soundcloud.com/playlists/735291612,603448746,,False,2019-03-22T20:24:38Z,,2019-03-22T20:24:38Z,https://i1.sndcdn.com/avatars-000599537340-vpck6o-large.jpg,,11131,,603448746,user,2020-11-18T16:07:56Z,,soundcloud-shine,https://soundcloud.com/soundcloud-shine,https://api.soundcloud.com/users/603448746,soundcloud:users:603448746,Shine: Pop,True,,,False,True,True,soundcloud:system-playlists:artist-stations:603448746,artist-stations:603448746
2019-04-24T05:19:11Z,like,8,https://i1.sndcdn.com/artworks-000650229295-jp98na-large.jpg,2018-12-06T11:27:29Z,12524719,658534032,playlist,2020-03-06T16:56:07Z,30558,False,2019-artists-to-watch,https://soundcloud.com/playback/sets/2019-artists-to-watch,True,1807,,public,Artists To Watch 2019,68,https://api.soundcloud.com/playlists/658534032,352252208,,False,2018-12-06T20:20:09Z,,2018-12-06T20:20:09Z,https://i1.sndcdn.com/avatars-000474187830-6w79xw-large.jpg,,9595,,352252208,user,2020-03-23T16:15:36Z,,playback,https://soundcloud.com/playback,https://api.soundcloud.com/users/352252208,soundcloud:users:352252208,Playback,False,,,False,True,False,soundcloud:system-playlists:artist-stations:352252208,artist-stations:352252208
2019-04-01T02:55:56Z,like,8,https://i1.sndcdn.com/artworks-000516995013-am7htp-large.jpg,2019-03-12T23:25:29Z,6664116,728141682,playlist,2021-11-12T01:45:10Z,5745,False,hazy-daze-lo-fi-bedroom-raps,https://soundcloud.com/soundcloud-vs/sets/hazy-daze-lo-fi-bedroom-raps,True,209,,public,Lo-Fi Bedroom Raps: Hazy Daze,36,https://api.soundcloud.com/playlists/728141682,603469821,,False,2019-03-13T22:21:08Z,,2019-03-13T22:21:08Z,https://i1.sndcdn.com/avatars-000599538921-su9whq-large.jpg,,5059,,603469821,user,2021-11-12T01:47:02Z,,soundcloud-vs,https://soundcloud.com/soundcloud-vs,https://api.soundcloud.com/users/603469821,soundcloud:users:603469821,Vs.: Hip-Hop,True,,,False,True,True,soundcloud:system-playlists:artist-stations:603469821,artist-stations:603469821
2019-03-31T00:40:29Z,like,8,https://i1.sndcdn.com/artworks-K1CwM77QEyNXW4H9-HQJqkQ-large.jpg,2019-03-19T17:11:33Z,30807475,732979953,playlist,2022-02-11T09:55:52Z,15377,False,calm-anti-anxiety-ambient,https://soundcloud.com/soundcloud-circuits/sets/calm-anti-anxiety-ambient,True,526,,public,Anti-Anxiety Ambient: Calm,90,https://api.soundcloud.com/playlists/732979953,603904224,,False,2019-03-21T19:01:31Z,,2019-03-21T19:01:31Z,https://i1.sndcdn.com/avatars-000599548212-bskjwf-large.jpg,,6825,,603904224,user,2022-01-13T15:08:08Z,,soundcloud-circuits,https://soundcloud.com/soundcloud-circuits,https://api.soundcloud.com/users/603904224,soundcloud:users:603904224,Circuits: Electronic,True,,,False,True,True,soundcloud:system-playlists:artist-stations:603904224,artist-stations:603904224
